nom,debut,fin,genre,lateralite,set,systeme,coup,type_service,type_coup,zone_jeu,faute,effet_coup,coor_balle_x,coor_balle_y,coor_balle_z,joueur_frappe,joueur_sur,coor_frappe_x,coor_frappe_y,coor_frappe_z,time_frappe,premier_rebond_x,premier_rebond_y,premier_rebond_z,time_premier_rebond,num_coup,winner,premier_topspin,serveur,relanceur,pos_balle_x_prece,pos_balle_y_prece,pos_balle_z_prece,pos_joueur_0_x,pos_joueur_0_y,pos_joueur_0_z,pos_joueur_1_x,pos_joueur_1_y,pos_joueur_1_z,pos_joueur_2_x,pos_joueur_2_y,pos_joueur_2_z,pos_joueur_3_x,pos_joueur_3_y,pos_joueur_3_z,dist_equipe_1_x,dist_equipe_1_y,dist_equipe_2_x,dist_equipe_2_y,dist_eucl_equipe_1,dist_eucl_equipe_2,num_point,service_lateralite,service_zone,remise_lateralite,remise_effet_coup,remise_zone,faute_du_point,faute_lateralite,nb_coup,valeur_derniere_zone,cote_jA,cote_jB,derniere_zone
PRITHIKA-PAVADE,0,53,garcon,coup_droit,1,att/att,PRITHIKA-PAVADE,lat_gauche,,m2,,,-6.929472732543945,55.880120213826494,2,PRITHIKA-PAVADE,SIBEL-ALTINKAYA,-81.0046621799469,-204.06293910344442,100,42,-64.1706211566925,-104.49152464866638,2,45,1,PRITHIKA-PAVADE,,PRITHIKA-PAVADE,SIBEL-ALTINKAYA,,,,-94.38250732421875,-164.8782958984375,e4,-13.58416748046875,259.43060302734375,m6,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,0,coup_droit,m2,revers,flip,,out,revers,2,m2,haut,bas,1
SIBEL-ALTINKAYA,54,73,garcon,revers,1,att/att,serveur_point_pour,,intermediaire,,out,flip,,,,SIBEL-ALTINKAYA,PRITHIKA-PAVADE,39.15521774291992,59.50059509277344,100,58,,,,,2,PRITHIKA-PAVADE,,PRITHIKA-PAVADE,SIBEL-ALTINKAYA,-6.929472732543945,55.880120213826494,2,-72.8116455078125,-164.8782958984375,d4,38.430908203125,221.27569580078125,d5,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,0,coup_droit,m2,revers,flip,,out,revers,2,m2,haut,bas,0
