frame,numero_pers,max_x,max_y,min_x,min_y,est_joueur
9,5,848.816,116.047,807.646,68.9531,0
9,12,617.584,415.905,507.932,286.471,1
9,10,167.021,415.814,106.259,321.811,0
9,8,974.163,198.35,927.198,69.0823,0
9,11,394.276,100.341,353.206,47.5378,0
9,9,382.55,5.35226,366.842,5.34726,0
9,14,86.6789,73.0114,53.4274,5.33249,0
10,0,782.164,135.68,739.111,27.9031,0
10,1,707.716,570.508,556.915,413.775,1
10,13,460.872,117.983,413.955,61.2194,0
10,2,670.523,143.53,633.258,24.0123,0
10,4,280.639,155.268,225.688,37.7729,0
10,3,901.705,131.708,868.31,55.2889,0
10,7,525.495,120.066,476.585,57.2983,0
10,12,617.571,415.905,507.941,284.551,1
10,5,848.813,116.049,807.652,68.9495,0
10,6,1146.61,441.262,1060.46,300.203,0
10,10,167.073,413.939,106.271,321.825,0
10,8,974.139,198.359,927.189,69.0772,0
10,11,396.17,100.374,353.182,47.5414,0
10,9,382.551,5.35222,366.838,5.34737,0
10,14,86.671,73.0067,53.45,4.38616,0
11,0,782.17,135.651,739.119,27.9016,0
11,1,707.711,570.512,556.91,411.951,1
11,13,460.897,118.052,415.755,61.2083,0
11,2,670.539,147.456,633.233,24.0186,0
11,3,901.707,131.721,868.307,55.285,0
11,4,280.666,159.208,225.692,37.7744,0
11,7,525.51,153.3,476.536,57.2868,0
11,12,617.695,415.917,507.932,280.662,1
11,6,1146.61,441.262,1060.45,300.215,0
11,5,848.815,116.048,807.679,67.1434,0
11,10,167.057,415.785,106.26,321.819,0
11,8,974.151,198.364,927.186,69.0742,0
11,11,396.162,100.378,353.202,47.5493,0
11,9,382.549,5.35216,366.838,5.3471,0
11,14,86.6629,73.0129,53.4639,5.33173,0
12,0,782.175,133.768,739.111,27.9049,0
12,1,707.715,570.504,556.921,411.915,1
12,2,670.535,147.391,633.234,24.0149,0
12,3,901.711,131.744,868.305,55.2821,0
12,4,280.662,163.049,225.691,37.7689,0
12,7,525.497,145.47,476.517,57.2875,0
12,12,619.503,415.919,507.916,276.758,1
12,6,1146.62,441.257,1060.46,300.223,0
12,5,848.825,116.044,807.698,67.1305,0
12,10,167.041,413.931,106.264,321.813,0
12,8,974.154,198.374,927.183,69.0761,0
12,13,460.895,118.051,415.745,61.2095,0
12,11,396.177,100.378,353.19,49.4305,0
12,9,382.548,5.35212,366.829,5.34701,0
12,14,86.6855,73.0407,53.467,4.39475,0
13,0,782.181,135.653,740.968,27.9171,0
13,1,707.715,570.506,556.927,411.867,1
13,2,670.508,135.672,633.278,24.0419,0
13,3,901.707,131.727,868.304,55.2837,0
13,4,280.636,157.234,225.702,37.7909,0
13,12,617.707,415.914,507.945,274.878,1
13,7,525.497,149.411,476.529,57.2855,0
13,6,1146.62,441.26,1060.45,300.224,0
13,5,850.678,116.05,807.691,67.1251,0
13,10,168.978,413.91,106.277,321.804,0
13,8,974.14,196.467,927.187,69.0803,0
13,11,394.281,100.367,353.203,47.5504,0
13,13,460.849,115.993,415.911,61.2641,0
13,9,382.545,5.35175,366.827,5.34647,0
13,14,86.6737,73.0015,55.2713,5.33465,0
14,0,784.107,133.78,739.105,27.9112,0
14,1,707.713,570.505,556.923,409.992,1
14,3,901.704,131.717,868.306,55.2828,0
14,4,278.719,155.281,225.71,37.7932,0
14,2,670.505,137.653,633.243,24.0583,0
14,12,619.557,417.758,507.937,274.753,1
14,7,525.484,121.944,476.557,57.29,0
14,5,848.835,116.021,807.688,67.125,0
14,6,1146.62,441.26,1060.45,300.222,0
14,10,168.987,413.908,106.281,321.817,0
14,8,974.141,196.469,927.188,69.0775,0
14,11,396.178,100.367,353.201,47.5525,0
14,13,460.845,114.105,415.913,61.2661,0
14,9,382.543,5.35189,366.823,5.3465,0
14,14,86.6764,73.0023,53.4441,4.38283,0
15,0,784.155,135.66,739.122,24.1155,0
15,1,707.709,570.503,556.922,409.938,1
15,3,901.702,131.713,868.306,55.2836,0
15,4,280.664,155.29,225.709,37.8036,0
15,2,668.621,133.748,633.265,24.0873,0
15,12,617.689,415.913,507.93,274.706,1
15,6,1146.62,441.259,1060.45,300.223,0
15,7,525.479,118.037,476.587,57.2971,0
15,5,848.833,116.041,807.7,67.1381,0
15,10,168.987,413.912,106.285,321.82,0
15,8,972.261,196.464,927.194,69.0773,0
15,11,396.192,100.382,353.211,47.555,0
15,13,460.837,112.131,417.77,61.2581,0
15,9,382.546,5.35226,366.823,5.34665,0
15,14,86.6985,72.9814,55.2754,5.33418,0
16,0,786.14,133.781,739.117,25.9339,0
16,1,707.716,568.685,556.927,408.02,1
16,3,901.706,129.782,868.309,55.2856,0
16,4,282.608,161.106,225.698,37.8,0
