frame,numero_pers,joint,x,y,tracking
0,0,0,640.0158081054688,409.5639953613281,0
0,0,1,641.079833984375,407.43597412109375,0
0,0,2,642.143798828125,408.5,0
0,0,3,629.375732421875,413.28802490234375,0
0,0,4,648.52783203125,415.416015625,0
0,0,5,610.7556762695312,427.6520690917969,0
0,0,6,655.4439086914062,437.2281188964844,0
0,0,7,593.7315673828125,448.4001770019531,0
0,0,8,658.1038818359375,468.61627197265625,0
0,0,9,606.4996337890625,463.8282775878906,0
0,0,10,645.3358154296875,465.4242858886719,0
0,0,11,612.3516845703125,485.640380859375,0
0,0,12,638.9517822265625,487.76837158203125,0
0,0,13,578.3035278320312,504.7924499511719,0
0,0,14,677.2559814453125,512.7725219726562,0
0,0,15,565.5354614257812,554.2687377929688,0
0,0,16,692.1520385742188,561.7167358398438,0
0,1,0,1125.603271484375,304.302001953125,1
0,1,1,1128.4825439453125,301.42279052734375,1
0,1,2,1126.8372802734375,301.011474609375,1
0,1,3,1137.1201171875,307.5924987792969,1
0,1,4,1138.765380859375,304.302001953125,1
0,1,5,1145.3463134765625,329.803466796875,1
0,1,6,1135.8861083984375,323.2224426269531,1
0,1,7,1124.369384765625,355.3049621582031,1
0,1,8,1116.5543212890625,335.5618896484375,1
0,1,9,1093.1094970703125,361.885986328125,1
0,1,10,1087.7623291015625,339.6750183105469,1
0,1,11,1132.184326171875,389.44403076171875,1
0,1,12,1126.0146484375,375.04803466796875,1
0,1,13,1076.6568603515625,380.8064270019531,1
0,1,14,1079.124755859375,375.87066650390625,1
0,1,15,1082.415283203125,430.5754699707031,1
0,1,16,1082.0040283203125,428.5188903808594,1
0,2,0,594.7608642578125,301.8905944824219,2
0,2,1,597.672607421875,299.8107604980469,2
0,2,2,595.5928344726562,299.3948059082031,2
0,2,3,582.6978759765625,288.99566650390625,2
0,2,4,589.3533325195312,295.2351379394531,2
0,2,5,570.2189331054688,289.4116516113281,2
0,2,6,577.2903442382812,302.3065490722656,2
0,2,7,571.4668579101562,313.53759765625,2
0,2,8,591.4331665039062,323.10479736328125,2
0,2,9,596.8406982421875,320.19305419921875,2
0,2,10,617.2229614257812,326.8484802246094,2
0,2,11,536.9417724609375,319.7770690917969,2
0,2,12,530.2863159179688,328.09637451171875,2
0,2,13,577.2903442382812,323.9367370605469,2
0,2,14,534.4459838867188,371.3567199707031,2
0,2,15,537.773681640625,326.8484802246094,2
0,2,16,514.4796752929688,407.9616394042969,2
0,3,0,651.1177978515625,26.52286148071289,3
0,3,1,653.6758422851562,24.4299373626709,3
0,3,2,648.0947265625,24.197389602661133,3
0,3,3,657.1640625,25.59267234802246,3
0,3,4,643.4437866210938,25.127578735351562,3
0,3,5,664.6055297851562,40.94078826904297,3
0,3,6,634.8395385742188,41.4058837890625,3
0,3,7,671.8145141601562,60.939849853515625,3
0,3,8,629.4909057617188,61.87003707885742,3
0,3,9,664.3729858398438,56.056358337402344,3
0,3,10,632.281494140625,66.28843688964844,3
0,3,11,656.9315185546875,87.68277740478516,3
0,3,12,639.95556640625,86.98513793945312,3
0,3,13,659.0244140625,119.541748046875,3
0,3,14,639.490478515625,119.541748046875,3
0,3,15,658.559326171875,119.541748046875,3
0,3,16,640.420654296875,119.541748046875,3
0,4,0,767.2454223632812,27.47397804260254,4
0,4,1,769.9664916992188,24.526166915893555,4
0,4,2,763.6173095703125,24.29941177368164,4
0,4,3,773.1410522460938,27.247222900390625,4
0,4,4,756.3612060546875,27.47397804260254,4
0,4,5,777.4493408203125,48.335411071777344,4
0,4,6,743.6629028320312,46.5213737487793,4
0,4,7,779.9436645507812,75.09246826171875,4
0,4,8,738.9010620117188,72.82492065429688,4
0,4,9,768.1524047851562,90.2850341796875,4
0,4,10,751.37255859375,88.2442398071289,4
0,4,11,771.1002197265625,87.79073333740234,4
0,4,12,747.5177612304688,87.56398010253906,4
0,4,13,779.4901733398438,101.84952545166016,4
0,4,14,742.0756225585938,102.07627868652344,4
0,4,15,778.3563842773438,119.53639221191406,4
0,4,16,740.715087890625,119.53639221191406,4
0,5,0,949.8331909179688,68.80359649658203,5
0,5,1,952.959716796875,65.90040588378906,5
0,5,2,947.1533203125,65.90040588378906,5
0,5,3,957.872802734375,66.57037353515625,5
0,5,4,943.5802001953125,66.3470458984375,5
0,5,5,965.6890869140625,81.30963134765625,5
0,5,6,935.0939331054688,81.53295135498047,5
0,5,7,974.17529296875,102.30191040039062,5
0,5,8,924.5978393554688,102.52523040771484,5
0,5,9,964.5724487304688,109.89485931396484,5
0,5,10,935.5405883789062,110.56482696533203,5
0,5,11,960.1060180664062,117.4878158569336,5
0,5,12,939.11376953125,117.26448822021484,5
0,5,13,960.7760009765625,136.69351196289062,5
0,5,14,934.87060546875,136.69351196289062,5
0,5,15,957.6494750976562,136.69351196289062,5
0,5,16,936.8805541992188,136.69351196289062,5
0,6,0,884.4530029296875,58.5350456237793,6
0,6,1,887.5944213867188,55.5589485168457,6
0,6,2,881.6422119140625,55.39360809326172,6
0,6,3,892.3892211914062,56.881656646728516,6
0,6,4,877.674072265625,56.881656646728516,6
0,6,5,899.1681518554688,73.0848617553711,6
0,6,6,868.9111328125,73.7462158203125,6
0,6,7,901.48291015625,97.55500030517578,6
0,6,8,865.93505859375,99.04304504394531,6
0,6,9,894.5386352539062,110.45142364501953,6
0,6,10,870.7298583984375,117.23031616210938,6
0,6,11,893.546630859375,117.23031616210938,6
0,6,12,873.5406494140625,117.23031616210938,6
0,6,13,915.5366821289062,117.23031616210938,6
0,6,14,852.2119140625,117.23031616210938,6
0,6,15,915.5366821289062,117.23031616210938,6
0,6,16,852.2119140625,117.23031616210938,6
0,7,0,828.1113891601562,68.21434020996094,7
0,7,1,831.3518676757812,65.3149642944336,7
0,7,2,826.2353515625,64.63275909423828,7
0,7,3,837.3211669921875,67.19103240966797,7
0,7,4,823.8475952148438,65.65606689453125,7
0,7,5,843.4609985351562,83.3934097290039,7
0,7,6,813.7850952148438,81.17623901367188,7
0,7,7,846.1898193359375,103.85957336425781,7
0,7,8,808.4979858398438,103.85957336425781,7
0,7,9,834.9334716796875,107.44114685058594,7
0,7,10,813.7850952148438,112.21659088134766,7
0,7,11,836.2978515625,125.1784896850586,7
0,7,12,816.1727905273438,119.7208480834961,7
0,7,13,839.3677978515625,125.1784896850586,7
0,7,14,817.707763671875,125.1784896850586,7
0,7,15,837.3211669921875,125.1784896850586,7
0,7,16,795.877197265625,125.1784896850586,7
0,8,0,372.24017333984375,1.649699330329895,8
0,8,1,375.0355529785156,0.12495648860931396,8
0,8,2,369.1907043457031,-0.1291673183441162,8
0,8,3,378.33917236328125,1.649699330329895,8
0,8,4,365.6329650878906,1.1414517164230347,8
0,8,5,386.7252502441406,14.864137649536133,8
0,8,6,356.2303771972656,14.610013961791992,8
0,8,7,395.111328125,34.685794830322266,8
0,8,8,349.6231689453125,34.939918518066406,8
0,8,9,385.20050048828125,43.32600402832031,8
0,8,10,357.24688720703125,45.1048698425293,8
0,8,11,381.64276123046875,55.26982116699219,8
0,8,12,362.8376159667969,56.03219223022461,8
0,8,13,384.9463806152344,56.03219223022461,8
0,8,14,361.5669860839844,80.68220520019531,8
0,8,15,389.2664794921875,101.0121078491211,8
0,8,16,351.6561584472656,100.2497329711914,8
0,9,0,502.0365295410156,59.28421401977539,9
0,9,1,503.4968566894531,56.57215881347656,9
0,9,2,498.6986083984375,56.78077697753906,9
0,9,3,505.16583251953125,59.701454162597656,9
0,9,4,490.14520263671875,59.910072326660156,9
0,9,5,513.0933837890625,79.10308837890625,9
0,9,6,479.505615234375,80.56342315673828,9
0,9,7,522.8984985351562,100.3823013305664,9
0,9,8,471.78668212890625,101.42539978027344,9
0,9,9,507.46063232421875,104.34607696533203,9
0,9,10,487.64178466796875,105.59779357910156,9
0,9,11,509.9640808105469,117.69773864746094,9
0,9,12,486.3900451660156,117.69773864746094,9
0,9,13,519.9778442382812,130.2149200439453,9
0,9,14,495.3606872558594,130.2149200439453,9
0,9,15,509.3382263183594,130.2149200439453,9
0,9,16,489.51934814453125,130.2149200439453,9
0,10,0,440.1274719238281,61.212528228759766,10
0,10,1,440.98284912109375,58.64641189575195,10
0,10,2,437.1336669921875,58.86025619506836,10
0,10,3,442.05206298828125,60.57099914550781,10
0,10,4,428.1522521972656,60.57099914550781,10
0,10,5,448.0396423339844,77.03691101074219,10
0,10,6,416.604736328125,78.74765014648438,10
0,10,7,457.66259765625,97.13815307617188,10
0,10,8,407.8371887207031,99.70426177978516,10
0,10,9,446.1150817871094,101.41500854492188,10
0,10,10,420.2400817871094,101.84269714355469,10
0,10,11,446.32891845703125,114.24559020996094,10
0,10,12,422.3785095214844,115.31480407714844,10
0,10,13,457.66259765625,132.4222412109375,10
0,10,14,435.2090759277344,132.4222412109375,10
0,10,15,446.5427551269531,132.4222412109375,10
0,10,16,425.5861511230469,132.4222412109375,10
0,11,0,239.57713317871094,41.51052474975586,11
0,11,1,242.00921630859375,37.55839157104492,11
0,11,2,235.625,38.77443313598633,11
0,11,3,245.9613494873047,38.166412353515625,11
0,11,4,229.84881591796875,40.59849166870117,11
0,11,5,255.3856658935547,50.93484115600586,11
0,11,6,223.7686004638672,53.366920471191406,11
0,11,7,265.1139831542969,78.90377807617188,11
0,11,8,216.16835021972656,80.72784423828125,11
0,11,9,253.25759887695312,87.41606903076172,11
0,11,10,232.888916015625,78.59976959228516,11
0,11,11,252.95358276367188,87.72007751464844,11
0,11,12,231.9768829345703,88.02408599853516,11
0,11,13,262.6819152832031,101.09652709960938,11
0,11,14,228.02474975585938,99.88048553466797,11
0,11,15,264.20196533203125,133.62562561035156,11
0,11,16,230.15281677246094,135.44967651367188,11
0,12,0,130.66705322265625,323.9021301269531,12
0,12,1,129.98306274414062,320.48223876953125,12
0,12,2,128.2731170654297,321.8501892089844,12
0,12,3,116.98741149902344,326.6380615234375,12
0,12,4,119.03936004638672,328.69000244140625,12
0,12,5,121.77528381347656,342.02764892578125,12
0,12,6,107.41166687011719,357.75921630859375,12
0,12,7,151.18649291992188,341.0016784667969,12
0,12,8,110.14759826660156,397.0881652832031,12
0,12,9,180.939697265625,348.5254821777344,12
0,12,10,140.92677307128906,397.0881652832031,12
0,12,11,116.30342864990234,398.7981262207031,12
0,12,12,105.35972595214844,407.347900390625,12
0,12,13,157.3423309326172,398.4561462402344,12
0,12,14,153.2384490966797,413.50372314453125,12
0,12,15,165.89210510253906,444.6249084472656,12
0,12,16,163.1561737060547,444.6249084472656,12
0,13,0,67.82962799072266,-20.62639617919922,13
0,13,1,73.37955474853516,3.745047092437744,13
0,13,2,69.27743530273438,-20.62639617919922,13
0,13,3,56.24715805053711,2.5385398864746094,13
0,13,4,54.075443267822266,1.0907313823699951,13
0,13,5,86.40983581542969,1.3320327997207642,13
0,13,6,51.66242980957031,1.0907313823699951,13
0,13,7,87.61634063720703,10.260185241699219,13
0,13,8,49.490718841552734,7.605869770050049,13
0,13,9,72.89695739746094,16.05141830444336,13
0,13,10,49.732017517089844,10.501486778259277,13
0,13,11,83.27291870117188,20.8774471282959,13
0,13,12,79.89469909667969,21.360050201416016,13
0,13,13,55.0406494140625,33.18381881713867,13
0,13,14,55.52325439453125,35.838134765625,13
0,13,15,57.69496536254883,69.13773345947266,13
0,13,16,58.66017150878906,70.58554077148438,13
1,0,0,640.4273071289062,409.38494873046875,0
1,0,1,641.4932861328125,407.2530822753906,0
1,0,2,642.5592041015625,408.31903076171875,0
1,0,3,629.7678833007812,412.5827941894531,0
1,0,4,648.4219360351562,415.2476501464844,0
1,0,5,611.6468505859375,427.5060119628906,0
1,0,6,655.8834838867188,437.0994873046875,0
1,0,7,593.5258178710938,448.8248596191406,0
1,0,8,658.5484008789062,468.5448303222656,0
1,0,9,606.85009765625,464.28106689453125,0
1,0,10,644.6911010742188,464.81402587890625,0
1,0,11,612.7127685546875,485.59991455078125,0
1,0,12,639.3613891601562,487.7318115234375,0
1,0,13,578.0696411132812,505.31988525390625,0
1,0,14,677.7353515625,512.781494140625,0
1,0,15,565.811279296875,554.353271484375,0
1,0,16,692.1256103515625,561.8148803710938,0
1,1,0,1125.61572265625,304.31414794921875,1
1,1,1,1128.4949951171875,301.8462829589844,1
1,1,2,1126.8497314453125,301.0236511230469,1
1,1,3,1137.132568359375,307.60467529296875,1
1,1,4,1138.77783203125,304.31414794921875,1
1,1,5,1145.35888671875,329.8156433105469,1
1,1,6,1135.8985595703125,323.234619140625,1
1,1,7,1124.3818359375,355.317138671875,1
1,1,8,1116.5667724609375,335.57403564453125,1
1,1,9,1093.1219482421875,361.8981628417969,1
1,1,10,1087.7747802734375,339.68719482421875,1
1,1,11,1132.19677734375,389.4562072753906,1
1,1,12,1126.027099609375,375.0602111816406,1
1,1,13,1076.6693115234375,380.818603515625,1
1,1,14,1079.13720703125,375.8828430175781,1
1,1,15,1082.427734375,430.587646484375,1
1,1,16,1082.0164794921875,428.53106689453125,1
1,2,0,594.5929565429688,301.2911071777344,2
1,2,1,597.5150146484375,298.7864990234375,2
1,2,2,595.4278564453125,298.7864990234375,2
1,2,3,582.4874877929688,288.3507385253906,2
1,2,4,589.1663818359375,294.6122131347656,2
1,2,5,569.9645385742188,289.18560791015625,2
1,2,6,577.0608520507812,301.7085266113281,2
1,2,7,570.7994384765625,314.6488952636719,2
1,2,8,592.5057983398438,322.580078125,2
1,2,9,597.5150146484375,318.40576171875,2
1,2,10,617.9691162109375,326.33697509765625,2
1,2,11,536.1526489257812,320.07550048828125,2
1,2,12,529.8911743164062,328.0066833496094,2
1,2,13,576.2260131835938,323.8323669433594,2
1,2,14,534.48291015625,370.58465576171875,2
1,2,15,537.8223266601562,325.9195251464844,2
1,2,16,514.8636474609375,407.73602294921875,2
1,3,0,651.1773071289062,26.90337371826172,3
1,3,1,653.7305297851562,24.5822696685791,3
1,3,2,648.159912109375,24.35015869140625,3
1,3,3,657.2122192382812,25.742820739746094,3
1,3,4,643.2855834960938,25.278600692749023,3
1,3,5,664.6397094726562,40.82999801635742,3
1,3,6,634.697509765625,41.526329040527344,3
1,3,7,671.8351440429688,61.02360153198242,3
1,3,8,629.591064453125,62.416263580322266,3
1,3,9,664.4075927734375,55.22084045410156,3
1,3,10,633.0726928710938,65.89791870117188,3
1,3,11,656.9801025390625,87.71630096435547,3
1,3,12,640.0360107421875,87.01996612548828,3
1,3,13,659.069091796875,119.51541900634766,3
1,3,14,639.3397216796875,119.51541900634766,3
1,3,15,658.140625,119.51541900634766,3
1,3,16,640.500244140625,119.51541900634766,3
1,4,0,767.8823852539062,27.301618576049805,4
1,4,1,770.5780029296875,24.605976104736328,4
1,4,2,764.5128173828125,24.156702041625977,4
1,4,3,773.9475708007812,27.975528717041016,4
1,4,4,756.8751831054688,27.526254653930664,4
1,4,5,777.0924682617188,48.642120361328125,4
1,4,6,743.8462524414062,46.62038803100586,4
1,4,7,779.7881469726562,75.37390899658203,4
1,4,8,738.9042358398438,73.1275405883789,4
1,4,9,767.8823852539062,90.4245834350586,4
1,4,10,751.48388671875,88.40284729003906,4
1,4,11,771.251953125,87.72894287109375,4
1,4,12,747.4404296875,87.72894287109375,4
1,4,13,779.5634765625,101.88106536865234,4
1,4,14,742.0491333007812,102.10569763183594,4
1,4,15,778.4403076171875,119.40274047851562,4
1,4,16,740.9259643554688,119.40274047851562,4
1,5,0,949.8440551757812,68.8003158569336,5
1,5,1,952.9722290039062,65.89556884765625,5
1,5,2,947.1627197265625,65.89556884765625,5
1,5,3,957.8880004882812,66.5658950805664,5
1,5,4,943.587646484375,66.11901092529297,5
1,5,5,965.7084350585938,81.31307220458984,5
1,5,6,935.0968627929688,81.53651428222656,5
1,5,7,974.19921875,102.31663513183594,5
1,5,8,924.5950927734375,102.54007720947266,5
1,5,9,964.5912475585938,109.91366577148438,5
1,5,10,935.5437622070312,110.58399200439453,5
1,5,11,960.1223754882812,117.2872543334961,5
1,5,12,939.1188354492188,117.2872543334961,5
1,5,13,960.792724609375,136.72671508789062,5
1,5,14,934.8734130859375,136.72671508789062,5
1,5,15,957.66455078125,136.72671508789062,5
1,5,16,936.8843994140625,136.72671508789062,5
1,6,0,828.1692504882812,68.38912200927734,7
1,6,1,831.4038696289062,65.49500274658203,7
1,6,2,826.2965698242188,64.64379119873047,7
1,6,3,837.1920776367188,67.19742584228516,7
1,6,4,823.9132080078125,65.66524505615234,7
1,6,5,843.4910888671875,83.37045288085938,7
1,6,6,813.868896484375,81.15730285644531,7
1,6,7,846.044677734375,103.6292953491211,7
1,6,8,808.7615966796875,103.7995376586914,7
1,6,9,834.8087158203125,107.37462615966797,7
1,6,10,814.0391235351562,111.97117614746094,7
1,6,11,836.170654296875,125.079833984375,7
1,6,12,816.08203125,119.46183776855469,7
1,6,13,839.5755004882812,125.079833984375,7
1,6,14,818.1249389648438,125.079833984375,7
1,6,15,837.3623657226562,125.079833984375,7
1,6,16,796.1636962890625,125.079833984375,7
1,7,0,884.5706787109375,58.55307388305664,6
1,7,1,887.5451049804688,55.41340255737305,6
1,7,2,881.5962524414062,55.41340255737305,6
1,7,3,892.3372192382812,56.90061569213867,6
1,7,4,877.7955932617188,56.73537063598633,6
1,7,5,899.2775268554688,73.09471130371094,6
1,7,6,868.70703125,73.75569152832031,6
1,7,7,901.4257202148438,98.21208190917969,6
1,7,8,865.8978881835938,99.36880493164062,6
1,7,9,893.8244018554688,110.9360122680664,6
1,7,10,870.6900024414062,117.2153549194336,6
1,7,11,893.6591796875,117.2153549194336,6
1,7,12,873.3339233398438,117.2153549194336,6
1,7,13,915.4716186523438,117.2153549194336,6
1,7,14,852.1824340820312,117.2153549194336,6
1,7,15,915.4716186523438,117.2153549194336,6
1,7,16,852.1824340820312,117.2153549194336,6
1,8,0,372.3331604003906,1.3869638442993164,8
1,8,1,375.1278076171875,-0.13737702369689941,8
1,8,2,369.28448486328125,-0.39143383502960205,8
1,8,3,378.4305419921875,1.641020655632019,8
1,8,4,365.7276916503906,1.1329070329666138,8
1,8,5,386.81439208984375,14.851974487304688,8
1,8,6,356.32757568359375,14.34386157989502,8
1,8,7,394.9442138671875,34.66840744018555,8
1,8,8,349.9761657714844,35.17652130126953,8
1,8,9,385.2900695800781,43.306339263916016,8
1,8,10,357.34381103515625,45.33879089355469,8
1,8,11,381.7332763671875,55.24700927734375,8
1,8,12,362.9330749511719,56.009178161621094,8
1,8,13,384.7819519042969,56.26323699951172,8
1,8,14,361.9168395996094,80.90674591064453,8
1,8,15,389.35498046875,101.23129272460938,8
1,8,16,351.5005187988281,100.72317504882812,8
1,9,0,502.0523986816406,59.284244537353516,9
1,9,1,503.5115051269531,56.574462890625,9
1,9,2,498.71728515625,56.78290939331055,9
1,9,3,505.1790466308594,59.701133728027344,9
1,9,4,490.1710510253906,59.90958023071289,9
1,9,5,513.0999755859375,79.08649444580078,9
1,9,6,479.5403747558594,80.54560089111328,9
1,9,7,522.8968505859375,100.5562973022461,9
1,9,8,471.8279113769531,101.39007568359375,9
1,9,9,507.2635192871094,104.5167465209961,9
1,9,10,487.6697082519531,105.76741027832031,9
1,9,11,509.9732971191406,118.0656509399414,9
1,9,12,486.4190368652344,118.0656509399414,9
1,9,13,519.7702026367188,130.1554412841797,9
1,9,14,495.5906066894531,130.1554412841797,9
1,9,15,509.34796142578125,130.1554412841797,9
1,9,16,489.54571533203125,130.1554412841797,9
1,10,0,439.8504943847656,61.21207809448242,10
1,10,1,440.70697021484375,58.42850875854492,10
1,10,2,436.8528137207031,59.07087326049805,10
1,10,3,441.99169921875,60.35559844970703,10
1,10,4,428.0738525390625,60.783836364746094,10
1,10,5,447.9870910644531,77.05701446533203,10
1,10,6,416.5113220214844,78.76998138427734,10
1,10,7,457.62249755859375,97.18436431884766,10
1,10,8,407.7323913574219,100.18205261230469,10
1,10,9,446.27410888671875,101.2526626586914,10
1,10,10,420.5796203613281,102.3232650756836,10
1,10,11,446.05999755859375,114.52814483642578,10
1,10,12,422.2926025390625,115.8128662109375,10
1,10,13,457.62249755859375,132.5142822265625,10
1,10,14,436.21044921875,132.5142822265625,10
1,10,15,446.48822021484375,132.5142822265625,10
1,10,16,425.290283203125,132.5142822265625,10
1,11,0,130.7612762451172,323.7686767578125,12
1,11,1,130.07711791992188,320.3478698730469,12
1,11,2,128.02462768554688,321.7162170410156,12
1,11,3,117.07805633544922,326.1632385253906,12
1,11,4,118.78845977783203,328.55780029296875,12
1,11,5,122.20926666259766,341.8989562988281,12
1,11,6,107.15773010253906,357.9767150878906,12
1,11,7,149.9177703857422,340.8727111816406,12
1,11,8,109.55229187011719,397.31597900390625,12
1,11,9,180.36293029785156,349.0826416015625,12
1,11,10,139.3132781982422,399.0263671875,12
1,11,11,116.73597717285156,399.0263671875,12
1,11,12,105.44732666015625,406.89422607421875,12
1,11,13,157.10145568847656,401.76300048828125,12
1,11,14,152.99649047851562,413.7358093261719,12
1,11,15,166.33763122558594,444.8651428222656,12
1,11,16,163.60098266601562,444.8651428222656,12
1,12,0,239.69056701660156,41.325172424316406,11
1,12,1,242.12783813476562,37.36460494995117,11
1,12,2,235.73001098632812,38.5832405090332,11
1,12,3,246.08840942382812,37.66926574707031,11
1,12,4,230.2461395263672,40.41119384765625,11
1,12,5,255.83749389648438,51.074256896972656,11
1,12,6,224.15296936035156,52.9022102355957,11
1,12,7,265.28192138671875,79.71219635009766,11
1,12,8,216.53648376464844,80.62617492675781,11
1,12,9,253.09556579589844,87.93798828125,11
1,12,10,233.59739685058594,82.14946746826172,11
1,12,11,254.00953674316406,89.15662384033203,11
1,12,12,231.76943969726562,89.46128845214844,11
1,12,13,262.2353210449219,101.95230102539062,11
1,12,14,227.80886840820312,100.12435150146484,11
1,12,15,264.672607421875,134.24615478515625,11
1,12,16,230.2461395263672,136.07411193847656,11
1,13,0,52.874610900878906,-21.707592010498047,13
1,13,1,75.4596939086914,0.8774906992912292,13
1,13,2,49.92873001098633,-21.707592010498047,13
1,13,3,55.084022521972656,1.1229807138442993,13
1,13,4,48.7012825012207,0.14102061092853546,13
