frame,numero_pers,joint,x,y,tracking,est_joueur
0,0,0,764.556,27.9019,0,0
0,0,1,760.693,49.4346,0,0
0,0,2,744.943,47.4978,0,0
0,0,3,739.116,71.1193,0,0
0,0,4,754.774,86.7416,0,0
0,0,5,776.43,49.5047,0,0
0,0,6,782.171,72.9879,0,0
0,0,7,774.25,88.6426,0,0
0,0,8,760.603,86.7702,0,0
0,0,9,746.959,86.7661,0,0
0,0,10,742.967,102.477,0,0
0,0,11,743.016,131.824,0,0
0,0,12,774.292,88.6211,0,0
0,0,13,778.266,102.477,0,0
0,0,14,0,0,0,0
0,0,15,760.69,24.0681,0,0
0,0,16,770.46,24.0935,0,0
0,0,17,756.725,25.9835,0,0
0,0,18,774.38,27.9119,0,0
0,0,19,0,0,0,0
0,0,20,0,0,0,0
0,0,21,0,0,0,0
0,0,22,0,0,0,0
0,0,23,0,0,0,0
0,0,24,744.954,137.628,0,0
0,1,0,0,0,1,1
0,1,1,633.317,431.511,1,1
0,1,2,652.867,433.472,1,1
0,1,3,650.941,462.939,1,1
0,1,4,646.97,460.842,1,1
0,1,5,613.658,429.512,1,1
0,1,6,601.849,451.146,1,1
0,1,7,615.598,466.744,1,1
0,1,8,621.602,494.134,1,1
0,1,9,637.266,494.233,1,1
0,1,10,678.345,511.826,1,1
0,1,11,694.019,558.906,1,1
0,1,12,607.826,492.248,1,1
0,1,13,578.441,507.802,1,1
0,1,14,568.607,554.904,1,1
0,1,15,0,0,1,1
0,1,16,0,0,1,1
0,1,17,648.987,415.797,1,1
0,1,18,629.407,413.846,1,1
0,1,19,560.784,554.854,1,1
0,1,20,556.878,554.976,1,1
0,1,21,568.666,558.882,1,1
0,1,22,705.792,556.984,1,1
0,1,23,707.71,562.783,1,1
0,1,24,690.136,570.51,1,1
0,2,0,650.912,25.9569,2,0
0,2,1,650.836,39.6501,2,0
0,2,2,635.272,39.6842,2,0
0,2,3,633.194,59.2575,2,0
0,2,4,637.227,63.1804,2,0
0,2,5,664.561,39.6226,2,0
0,2,6,670.494,55.4577,2,0
0,2,7,664.598,53.4492,2,0
0,2,8,648.976,82.7704,2,0
0,2,9,637.296,82.7699,2,0
0,2,10,637.212,108.284,2,0
0,2,11,637.255,131.758,2,0
0,2,12,654.886,82.7752,2,0
0,2,13,658.747,108.226,2,0
0,2,14,660.678,131.809,2,0
0,2,15,649.003,24.0166,2,0
0,2,16,651.052,24.0195,2,0
0,2,17,646.926,24.0822,2,0
0,2,18,656.787,24.0885,2,0
0,2,19,660.743,135.706,2,0
0,2,20,664.605,135.695,2,0
0,2,21,658.797,133.713,2,0
0,2,22,643.066,135.726,2,0
0,2,23,635.277,135.697,2,0
0,2,24,639.19,133.706,2,0
0,3,0,884.065,55.4681,3,0
0,3,1,884.106,71.1301,3,0
0,3,2,870.262,71.1166,3,0
0,3,3,868.295,98.487,3,0
0,3,4,868.377,112.198,3,0
0,3,5,899.736,72.9717,3,0
0,3,6,901.721,98.433,3,0
0,3,7,893.886,114.054,3,0
0,3,8,883.976,116.003,3,0
0,3,9,870.387,114.129,3,0
0,3,10,0,0,3,0
0,3,11,0,0,3,0
0,3,12,891.875,116.047,3,0
0,3,13,0,0,3,0
0,3,14,0,0,3,0
0,3,15,882.105,55.2802,3,0
0,3,16,886,55.3155,3,0
0,3,17,876.23,55.3976,3,0
0,3,18,889.973,55.3523,3,0
0,3,19,0,0,3,0
0,3,20,0,0,3,0
0,3,21,0,0,3,0
0,3,22,0,0,3,0
0,3,23,0,0,3,0
0,3,24,0,0,3,0
0,4,0,241.373,39.6753,4,0
0,4,1,241.382,53.4064,4,0
0,4,2,225.773,53.462,4,0
0,4,3,215.973,80.8024,4,0
0,4,4,233.616,80.8121,4,0
0,4,5,257.026,53.3028,4,0
0,4,6,264.978,72.9731,4,0
0,4,7,257.117,84.7828,4,0
0,4,8,243.395,96.4883,4,0
0,4,9,231.653,98.3938,4,0
0,4,10,237.508,131.713,4,0
0,4,11,239.446,161.167,4,0
0,4,12,255.211,94.5335,4,0
0,4,13,263.032,118.02,4,0
0,4,14,270.881,151.361,4,0
0,4,15,237.506,37.7696,4,0
0,4,16,241.512,37.7246,4,0
0,4,17,227.842,39.5856,4,0
0,4,18,243.476,37.7455,4,0
0,4,19,274.783,161.148,4,0
0,4,20,282.623,157.204,4,0
0,4,21,266.961,153.296,4,0
0,4,22,241.527,165.084,4,0
0,4,23,235.591,165.044,4,0
0,4,24,241.446,163.078,4,0
0,5,0,827.263,69.1009,5,0
0,5,1,829.251,84.6693,5,0
0,5,2,817.488,82.7619,5,0
0,5,3,807.657,98.4325,5,0
0,5,4,809.623,106.272,5,0
0,5,5,841.021,84.7165,5,0
0,5,6,848.82,102.372,5,0
0,5,7,837.059,108.254,5,0
0,5,8,825.262,116.021,5,0
0,5,9,817.476,114.136,5,0
0,5,10,0,0,5,0
0,5,11,0,0,5,0
0,5,12,837.007,116.085,5,0
0,5,13,0,0,5,0
0,5,14,0,0,5,0
0,5,15,825.265,68.9564,5,0
0,5,16,833.125,68.971,5,0
0,5,17,823.306,69.0539,5,0
0,5,18,837.058,69.0428,5,0
0,5,19,0,0,5,0
0,5,20,0,0,5,0
0,5,21,0,0,5,0
0,5,22,0,0,5,0
0,5,23,0,0,5,0
0,5,24,0,0,5,0
0,6,0,1123.08,304.067,6,0
0,6,1,1138.79,323.724,6,0
0,6,2,1134.92,321.718,6,0
0,6,3,1117.15,337.523,6,0
0,6,4,1087.9,349.174,6,0
0,6,5,1146.6,325.742,6,0
0,6,6,1123.08,353.255,6,0
0,6,7,1091.74,364.83,6,0
0,6,8,1132.88,382.516,6,0
0,6,9,1128.95,378.578,6,0
0,6,10,1087.73,366.811,6,0
0,6,11,1099.55,413.936,6,0
0,6,12,1134.83,384.545,6,0
0,6,13,1076.03,378.604,6,0
0,6,14,1083.87,431.436,6,0
0,6,15,1123.06,300.205,6,0
0,6,16,1128.98,300.246,6,0
0,6,17,0,0,6,0
0,6,18,1136.9,304.144,6,0
0,6,19,1060.45,435.392,6,0
0,6,20,1070.17,441.262,6,0
0,6,21,1089.7,433.511,6,0
0,6,22,1078,423.663,6,0
0,6,23,0,0,6,0
0,6,24,1105.37,417.798,6,0
0,7,0,503.969,61.2128,7,0
0,7,1,494.314,82.7613,7,0
0,7,2,480.509,82.7883,7,0
0,7,3,476.6,102.338,7,0
0,7,4,488.312,102.447,7,0
0,7,5,509.951,80.8199,7,0
0,7,6,525.487,100.33,7,0
0,7,7,509.955,102.332,7,0
0,7,8,500.06,119.997,7,0
0,7,9,492.18,120.042,7,0
0,7,10,0,0,7,0
0,7,11,0,0,7,0
0,7,12,509.877,118.135,7,0
0,7,13,0,0,7,0
0,7,14,0,0,7,0
0,7,15,496.209,57.2906,7,0
0,7,16,505.915,57.3146,7,0
0,7,17,492.205,61.2226,7,0
0,7,18,507.799,63.1637,7,0
0,7,19,0,0,7,0
0,7,20,0,0,7,0
0,7,21,0,0,7,0
0,7,22,0,0,7,0
0,7,23,0,0,7,0
0,7,24,0,0,7,0
0,8,0,948.811,70.9702,8,0
0,8,1,948.76,82.7349,8,0
0,8,2,934.975,80.8464,8,0
0,8,3,927.177,100.393,8,0
0,8,4,927.196,106.334,8,0
0,8,5,964.371,82.7436,8,0
0,8,6,974.174,100.482,8,0
0,8,7,964.446,116.13,8,0
0,8,8,948.699,120,8,0
0,8,9,938.897,118.131,8,0
0,8,10,940.876,159.201,8,0
0,8,11,935.056,192.47,8,0
0,8,12,960.493,120.039,8,0
0,8,13,960.425,159.185,8,0
0,8,14,958.525,194.48,8,0
0,8,15,948.648,69.0559,8,0
0,8,16,952.637,69.0567,8,0
0,8,17,946.698,69.0609,8,0
0,8,18,958.526,69.0587,8,0
0,8,19,962.4,198.366,8,0
0,8,20,964.366,198.393,8,0
0,8,21,958.519,196.393,8,0
0,8,22,936.991,196.396,8,0
0,8,23,933.084,194.501,8,0
0,8,24,936.99,192.474,8,0
0,9,0,374.694,5.34098,9,0
0,9,1,0,0,9,0
0,9,2,357.068,12.2365,9,0
0,9,3,353.118,33.8286,9,0
0,9,4,359.028,49.4305,9,0
0,9,5,0,0,9,0
0,9,6,0,0,9,0
0,9,7,0,0,9,0
0,9,8,0,0,9,0
0,9,9,0,0,9,0
0,9,10,0,0,9,0
0,9,11,0,0,9,0
0,9,12,0,0,9,0
0,9,13,0,0,9,0
0,9,14,0,0,9,0
0,9,15,370.756,5.34664,9,0
0,9,16,380.486,5.35232,9,0
0,9,17,366.831,5.34776,9,0
0,9,18,382.546,5.34695,9,0
0,9,19,0,0,9,0
0,9,20,0,0,9,0
0,9,21,0,0,9,0
0,9,22,0,0,9,0
0,9,23,0,0,9,0
0,9,24,0,0,9,0
0,10,0,131.689,331.552,10,0
0,10,1,114.138,351.091,10,0
0,10,2,104.348,353.216,10,0
0,10,3,112.124,398.271,10,0
0,10,4,141.569,400.128,10,0
0,10,5,118.081,341.378,10,0
0,10,6,121.961,378.595,10,0
0,10,7,137.668,384.468,10,0
0,10,8,110.22,409.926,10,0
0,10,9,104.322,413.888,10,0
0,10,10,149.378,415.774,10,0
0,10,11,0,0,10,0
0,10,12,116.061,402.146,10,0
0,10,13,165.12,402.168,10,0
0,10,14,0,0,10,0
0,10,15,125.868,323.777,10,0
0,10,16,131.726,323.75,10,0
0,10,17,116.075,325.724,10,0
0,10,18,0,0,10,0
0,10,19,0,0,10,0
0,10,20,0,0,10,0
0,10,21,0,0,10,0
0,10,22,0,0,10,0
0,10,23,0,0,10,0
0,10,24,0,0,10,0
0,11,0,0,0,11,0
0,11,1,0,0,11,0
0,11,2,0,0,11,0
0,11,3,0,0,11,0
0,11,4,0,0,11,0
0,11,5,0,0,11,0
0,11,6,0,0,11,0
0,11,7,0,0,11,0
0,11,8,370.747,49.4537,11,0
0,11,9,364.878,49.4455,11,0
0,11,10,357.06,55.4506,11,0
0,11,11,357.063,88.649,11,0
0,11,12,382.471,49.4527,11,0
0,11,13,388.44,55.4537,11,0
0,11,14,394.262,92.5677,11,0
0,11,15,0,0,11,0
0,11,16,0,0,11,0
0,11,17,0,0,11,0
0,11,18,0,0,11,0
0,11,19,394.281,100.456,11,0
0,11,20,398.22,100.315,11,0
0,11,21,388.424,96.5069,11,0
0,11,22,361,98.4569,11,0
0,11,23,353.152,98.3846,11,0
0,11,24,359.027,92.5563,11,0
0,12,0,598.023,304.22,12,1
0,12,1,572.507,296.344,12,1
0,12,2,576.497,302.214,12,1
0,12,3,584.339,321.886,12,1
0,12,4,603.92,321.898,12,1
0,12,5,568.662,290.427,12,1
0,12,6,572.575,319.824,12,1
0,12,7,599.948,321.866,12,1
0,12,8,525.582,319.873,12,1
0,12,9,529.452,321.862,12,1
0,12,10,533.393,368.823,12,1
0,12,11,511.863,408.03,12,1
0,12,12,523.613,315.945,12,1
0,12,13,535.351,366.819,12,1
0,12,14,511.849,406.031,12,1
0,12,15,599.928,302.212,12,1
0,12,16,0,0,12,1
0,12,17,590.209,294.341,12,1
0,12,18,0,0,12,1
0,12,19,523.63,415.834,12,1
0,12,20,523.574,413.923,12,1
0,12,21,507.924,411.911,12,1
0,12,22,523.668,415.881,12,1
0,12,23,521.637,415.933,12,1
0,12,24,507.961,413.811,12,1
0,13,0,437.409,67.0382,13,0
0,13,1,433.511,76.9059,13,0
0,13,2,427.576,80.7718,13,0
0,13,3,429.532,100.314,13,0
0,13,4,435.449,100.449,13,0
0,13,5,445.283,74.9569,13,0
0,13,6,460.805,92.561,13,0
0,13,7,456.951,100.401,13,0
0,13,8,445.099,102.493,13,0
0,13,9,433.536,104.34,13,0
0,13,10,0,0,13,0
0,13,11,0,0,13,0
0,13,12,447.24,102.479,13,0
0,13,13,0,0,13,0
0,13,14,0,0,13,0
0,13,15,433.446,63.1557,13,0
0,13,16,437.392,63.2022,13,0
0,13,17,431.438,65.172,13,0
0,13,18,437.368,67.0737,13,0
0,13,19,0,0,13,0
0,13,20,0,0,13,0
0,13,21,0,0,13,0
0,13,22,0,0,13,0
0,13,23,0,0,13,0
0,13,24,0,0,13,0
1,1,0,0,0,1,1
1,1,1,633.371,431.528,1,1
1,1,2,652.934,433.501,1,1
1,1,3,651.021,464.812,1,1
1,1,4,647.032,460.885,1,1
1,1,5,613.734,429.506,1,1
1,1,6,601.861,451.105,1,1
1,1,7,615.628,468.737,1,1
1,1,8,621.596,494.137,1,1
1,1,9,637.251,494.234,1,1
1,1,10,678.357,511.795,1,1
1,1,11,694.019,558.902,1,1
1,1,12,607.842,492.252,1,1
1,1,13,578.478,505.961,1,1
1,1,14,568.613,554.888,1,1
1,1,15,0,0,1,1
1,1,16,0,0,1,1
1,1,17,649.019,415.8,1,1
1,1,18,631.314,413.867,1,1
1,1,19,560.79,554.857,1,1
1,1,20,556.888,554.975,1,1
1,1,21,568.665,558.872,1,1
1,1,22,705.788,556.977,1,1
1,1,23,707.709,562.771,1,1
1,1,24,690.135,570.505,1,1
1,0,0,766.501,27.9362,0,0
1,0,1,760.701,49.4807,0,0
1,0,2,744.935,47.5373,0,0
