frame,numero_pers,joint,x,y,z,tracking
0,0,15,-55.08312,173.84885,0.0,0
0,0,16,36.100315,189.34167,0.0,0
0,1,15,351.61145,-111.36758,0.0,1
0,1,16,351.89822,-116.636055,0.0,1
0,2,15,-93.19279,-402.43033,0.0,2
0,2,16,-104.88072,-170.19913,0.0,2
0,3,15,14.083211,-1200.6826,0.0,3
0,3,16,-5.7947845,-1200.6052,0.0,3
0,4,15,145.43687,-1201.2194,0.0,4
0,4,16,104.15161,-1201.0587,0.0,4
0,5,15,335.53424,-1121.1233,0.0,5
0,5,16,313.18115,-1121.0425,0.0,5
0,6,15,296.79218,-1212.9249,0.0,6
0,6,16,227.07962,-1212.651,0.0,6
0,7,15,208.78084,-1174.5319,0.0,7
0,7,16,163.60974,-1174.3604,0.0,7
0,8,15,-287.27792,-1290.4188,0.0,8
0,8,16,-329.65015,-1294.0686,0.0,8
0,9,15,-147.38684,-1149.4683,0.0,9
0,9,16,-168.809,-1149.3887,0.0,9
0,10,15,-214.67247,-1138.9174,0.0,10
0,10,16,-237.25507,-1138.8342,0.0,10
0,11,15,-410.452,-1132.607,0.0,11
0,11,16,-446.06918,-1124.0353,0.0,11
0,12,15,-376.08707,-75.86159,-1.1368684e-13,12
0,12,16,-378.24155,-75.86154,0.0,12
0,13,15,-684.52576,-1454.9105,0.0,13
0,13,16,-682.13965,-1447.0834,0.0,13
1,0,15,-54.880013,174.02495,0.0,0
1,0,16,36.079205,189.5436,1.1368684e-13,0
1,1,15,351.6178,-111.33644,0.0,1
1,1,16,351.90457,-116.604805,0.0,1
1,2,15,-93.24008,-405.29886,0.0,2
1,2,16,-104.590485,-170.79875,0.0,2
1,3,15,13.624505,-1200.8073,0.0,3
1,3,16,-5.708001,-1200.732,0.0,3
1,4,15,145.55089,-1201.862,0.0,4
1,4,16,104.39824,-1201.7019,0.0,4
1,5,15,335.53772,-1120.97,0.0,5
1,5,16,313.17343,-1120.8892,0.0,5
1,6,15,208.84926,-1175.0,0.0,7
1,6,16,163.9402,-1174.8293,0.0,7
1,7,15,296.7257,-1212.997,0.0,6
1,7,16,227.0511,-1212.7231,0.0,6
1,8,15,-287.10007,-1289.3202,0.0,8
1,8,16,-329.62924,-1291.6907,0.0,8
1,9,15,-147.3872,-1149.7467,0.0,9
1,9,16,-168.79291,-1149.6671,0.0,9
1,10,15,-214.70715,-1138.4888,0.0,10
1,10,16,-237.54732,-1138.4048,0.0,10
1,11,15,-375.65707,-75.26365,0.0,12
1,11,16,-377.81165,-75.26362,0.0,12
1,12,15,-409.6424,-1129.7339,0.0,11
1,12,16,-445.6378,-1121.1553,0.0,11
1,13,15,-684.5038,-1453.6555,0.0,13
1,13,16,-682.5057,-1448.3486,0.0,13
2,0,15,-54.863827,174.97292,0.0,0
2,0,16,36.445564,189.38306,-1.1368684e-13,0
2,1,15,351.64517,-111.45772,0.0,1
2,1,16,351.9322,-116.730354,0.0,1
2,2,15,-93.254715,-405.2183,0.0,2
2,2,16,-104.66122,-171.5193,0.0,2
2,3,15,14.048463,-1200.9308,0.0,3
2,3,16,-5.758182,-1200.8538,0.0,3
2,4,15,145.53188,-1202.382,0.0,4
2,4,16,103.94449,-1202.22,0.0,4
2,5,15,335.33258,-1121.2433,0.0,5
2,5,16,313.2265,-1121.1635,0.0,5
2,6,15,209.92378,-1176.0005,0.0,7
